     2.000      2.000      2.000      2.000      2.000      1.000      2.000      1.000      5.000     -0.128      0.296     -0.396      0.597 1
     3.000      2.000      3.000      3.000      1.000      0.000      1.000      0.000      5.000      0.962      0.568     -1.887      0.325 1
     3.000      1.000      3.000      3.000      2.000      1.000      1.000      1.000      5.000      0.288      0.330     -1.103      0.346 1
     3.000      2.000      3.000      3.000      3.000      2.000      3.000      1.000      4.000      0.810      0.508      0.885      0.348 1
     3.000      1.000      2.000      3.000      2.000      0.000      0.000      1.000      5.000      0.052      0.305     -1.508      0.295 1
     3.000      2.000      3.000      3.000      3.000      1.000      2.000      2.000      4.000      0.817      0.510      0.747      0.326 1
     1.000      0.000      1.000      3.000      3.000      2.000      2.000      2.000      5.000     -0.886      0.314      0.829      0.336 1
     2.000      2.000      3.000      2.000      2.000      1.000      2.000      1.000      5.000      0.084      0.307     -0.411      0.596 1
     3.000      2.000      3.000      3.000      1.000      1.000      1.000      1.000      5.000      0.943      0.560     -1.590      0.318 1
     0.000      0.000      0.000      0.000      2.000      1.000      2.000      1.000      5.000     -2.067      0.429     -0.261      0.585 1
         *          *          *          *      2.000      1.000      2.000      1.000      5.000     -0.016      0.988     -0.404      0.600 1
     3.000      2.000      3.000      3.000      3.000      2.000      2.000      2.000      5.000      0.809      0.507      0.792      0.331 1
     3.000      2.000      3.000      3.000      2.000      0.000      1.000      1.000      4.000      0.923      0.552     -1.167      0.338 1
     3.000      2.000      3.000      2.000      2.000      0.000      2.000      1.000      4.000      0.473      0.382     -0.573      0.564 1
     3.000      2.000      3.000      3.000      3.000      2.000      2.000      1.000      5.000      0.822      0.512      0.552      0.317 1
     3.000      2.000      3.000      3.000      2.000      2.000      2.000      2.000      5.000      0.836      0.518      0.276      0.369 1
     1.000      1.000      3.000      0.000      1.000      0.000      1.000      0.000      5.000     -0.576      0.292     -1.854      0.325 1
     3.000      2.000      3.000      3.000      2.000      1.000      2.000      1.000      3.000      0.884      0.537     -0.398      0.598 1
     3.000      2.000      3.000      3.000      1.000      0.000      1.000      0.000      5.000      0.962      0.568     -1.887      0.325 1
     3.000      0.000      3.000      0.000      3.000      1.000      3.000      0.000      5.000     -0.335      0.294      0.418      0.287 1
     2.000      1.000      1.000      2.000      2.000      1.000      2.000      1.000      5.000     -0.533      0.287     -0.368      0.597 1
     1.000      2.000      3.000      3.000      1.000      2.000      1.000      0.000      5.000      0.024      0.316     -1.762      0.323 1
     2.000      2.000      3.000      3.000      0.000      0.000      1.000      0.000      5.000      0.296      0.328     -2.349      0.329 1
     3.000      2.000          *      3.000      0.000      0.000      0.000      0.000      5.000      0.853      0.655     -2.745      0.417 1
     2.000      0.000      1.000      2.000      0.000      0.000      0.000      1.000      3.000     -0.672      0.293     -2.350      0.313 1
     2.000      0.000      1.000      1.000      1.000      0.000      1.000      0.000      5.000     -0.791      0.295     -1.850      0.325 1
     2.000      1.000      2.000      1.000      1.000      0.000      1.000      0.000      3.000     -0.404      0.282     -1.838      0.325 1
     2.000      1.000      2.000      3.000      2.000      0.000      2.000      1.000      5.000     -0.213      0.287     -0.560      0.568 1
     3.000      2.000      3.000      3.000      2.000      1.000      1.000      0.000      5.000      0.930      0.555     -1.374      0.307 1
     3.000      2.000      3.000      1.000      2.000      2.000      2.000      0.000      5.000      0.326      0.361     -0.974      0.377 1
     3.000      2.000      3.000      3.000      1.000      0.000      0.000      0.000      5.000      0.982      0.577     -2.196      0.310 1
     3.000      2.000      3.000      1.000      2.000      1.000      1.000      0.000      4.000      0.338      0.362     -1.354      0.308 1
     3.000      2.000          *      2.000      1.000      1.000      1.000      1.000      5.000      0.283      0.419     -1.577      0.317 1
     3.000      2.000      2.000      3.000      1.000      0.000      0.000      0.000      5.000      0.410      0.366     -2.185      0.310 1
     3.000      2.000      3.000      3.000      2.000      1.000      2.000      1.000      5.000      0.877      0.534     -0.466      0.590 1
     3.000      2.000      3.000      3.000      2.000      1.000      2.000      1.000      5.000      0.877      0.534     -0.466      0.590 1
     3.000      2.000      3.000      3.000      1.000      0.000      1.000      0.000      5.000      0.962      0.568     -1.887      0.325 1
     3.000      2.000      3.000      3.000      1.000      0.000      2.000      1.000      5.000      0.928      0.554     -1.355      0.312 1
     2.000      2.000      2.000      3.000      2.000      0.000      1.000      0.000      5.000      0.034      0.307     -1.407      0.306 1
     3.000      2.000      3.000      3.000      2.000      2.000      1.000      0.000      5.000      0.927      0.554     -1.331      0.310 1
     1.000      0.000      1.000      1.000      3.000      1.000      2.000      2.000      5.000     -1.135      0.317      0.778      0.329 1
     1.000      0.000      2.000      2.000      2.000      0.000      2.000      1.000      3.000     -0.731      0.298     -0.460      0.594 1
     1.000      0.000      1.000      1.000      2.000      0.000      2.000      1.000      5.000     -1.110      0.317     -0.502      0.585 1
     3.000      2.000      3.000      3.000      3.000      2.000      2.000      1.000      5.000      0.822      0.512      0.552      0.317 1
     3.000      2.000      3.000      3.000      0.000      1.000      1.000      1.000      5.000      0.973      0.573     -2.070      0.298 1
     3.000      2.000      3.000      1.000      2.000      1.000      2.000      0.000      5.000      0.328      0.361     -1.037      0.362 1
     3.000      2.000      3.000      3.000      3.000      1.000      2.000      1.000      5.000      0.824      0.513      0.502      0.314 1
     3.000      2.000      3.000      3.000      2.000      2.000      2.000      1.000      5.000      0.867      0.530     -0.297      0.595 1
     3.000      2.000      3.000      3.000      2.000      1.000      1.000      0.000      4.000      0.935      0.557     -1.365      0.308 1
     1.000      0.000      1.000      3.000      2.000      2.000      2.000      1.000      5.000     -0.866      0.313     -0.182      0.564 1
     3.000      2.000      2.000      3.000      1.000      0.000      1.000      0.000      3.000      0.406      0.366     -1.854      0.325 1
     2.000      0.000      1.000      1.000      2.000      0.000      2.000      1.000      5.000     -0.814      0.296     -0.521      0.580 1
